,title,url,date,tag,scraped,collections,text,subheadings,image_urls
66,Warmte steeds vaker dodelijk: hitte vorige zomer kostte 62 duizend Europeanen het leven,https://www.volkskrant.nl/nieuws-achtergrond/warmte-steeds-vaker-dodelijk-hitte-vorige-zomer-kostte-62-duizend-europeanen-het-leven~ba6735a2/,2023-07-10,Nieuws & Achtergrond,False,,,,
67,Komt er een beter klimaatbeleid als we de verkiezingen verplaatsen naar de zomer?,https://www.volkskrant.nl/wetenschap/komt-er-een-beter-klimaatbeleid-als-we-de-verkiezingen-verplaatsen-naar-de-zomer~bdee0d30/,2023-06-16,Wetenschap,False,,,,
68,"Langdurige droogte, ongekende warmte, heftige branden: deze  grafieken geven klimaatcommotie",https://www.volkskrant.nl/nieuws-achtergrond/langdurige-droogte-ongekende-warmte-heftige-branden-deze-grafieken-geven-klimaatcommotie~b7964b75/,2023-06-13,Voorpagina,False,,,,
69,Britse kolencentrales moeten na 46 dagen weer aan vanwege airconditioning,https://www.volkskrant.nl/nieuws-achtergrond/britse-kolencentrales-moeten-na-46-dagen-weer-aan-vanwege-airconditioning~bc891298/,2023-06-13,Nieuws & Achtergrond,False,,,,
70,Klimaatverbond: Nederland niet goed voorbereid op hittegolf met code rood,https://www.volkskrant.nl/nieuws-achtergrond/klimaatverbond-nederland-niet-goed-voorbereid-op-hittegolf-met-code-rood~bd49a903/,2023-06-06,Voorpagina,False,,,,
71,"Recordhitte in Spanje: ‘Er was al consternatie om lege zwembaden, maar dit kan hele sectoren platleggen’",https://www.volkskrant.nl/nieuws-achtergrond/recordhitte-in-spanje-er-was-al-consternatie-om-lege-zwembaden-maar-dit-kan-hele-sectoren-platleggen~b80fc1b7/,2023-04-28,Nieuws & Achtergrond,False,,,,
72,"Snikhete zomers, verschuivende regenzones: 
Europa’s nieuwe klimaat in zeven grafieken",https://www.volkskrant.nl/wetenschap/snikhete-zomers-verschuivende-regenzones-europa-s-nieuwe-klimaat-in-zeven-grafieken~bef0a25b/,2023-04-20,Wetenschap,False,,,,
73,Is laks klimaatbeleid een schending van mensenrechten? Het Europees Hof is aan zet,https://www.volkskrant.nl/nieuws-achtergrond/is-laks-klimaatbeleid-een-schending-van-mensenrechten-het-europees-hof-is-aan-zet~b32b0117/,2023-03-29,Nieuws & Achtergrond,False,,,,
74,Stijlboek,https://www.volkskrant.nl/cultuur-media/stijlboek~b3c91bf7/,2023-03-10,Cultuur & Media,False,,,,
75,"Van Thomas van Luyn tot Tomas Ross: luisterboeken, jeugdboeken en thrillers om je op te verheugen in 2023",https://www.volkskrant.nl/boeken/van-thomas-van-luyn-tot-tomas-ross-luisterboeken-jeugdboeken-en-thrillers-om-je-op-te-verheugen-in-2023~bb668e4e/,2022-12-29,Boeken,False,,,,
76,Ook de moeite waard (of niet): korte boekrecensies,https://www.volkskrant.nl/cultuur-media/ook-de-moeite-waard-of-niet-korte-boekrecensies~b567074a/,2022-12-09,Cultuur & Media,False,,,,
77,Zes lessen over het klimaat: waar staan we precies?,https://www.volkskrant.nl/wetenschap/zes-lessen-over-het-klimaat-waar-staan-we-precies~b6ac26f2/,2022-11-04,Wetenschap,False,,,,
78,Worden zondaren die sparen steeds harder gestraft?,https://www.volkskrant.nl/economie/worden-zondaren-die-sparen-steeds-harder-gestraft~bdb18cf5/,2022-10-04,Economie,False,,,,
79,Een zomer vol extremen,https://www.volkskrant.nl/wetenschap/een-zomer-vol-extremen~bc67f9ca/,2022-09-08,Wetenschap,False,,,,
